scheme,instance,method,alpha,status,objective,f_true,feasible,u_at_xstar,covered_at_xstar,slack,x0,x1,x2,x3,x4
paper,16,cmicl,0.1,optimal,22.111132243688992,45.57039417474356,0,1.4988010832439613e-15,0,-4.4296058252564094,902.8609366304318,1203.814582173909,997.18,0.5287285032879182,39.10032879662012
paper,16,nominal,0.1,optimal,22.51414583775648,48.34599774632263,0,0.6844960800088444,1,0.7398475188408113,921.106049586405,1228.1413994485401,997.1800000000001,0.5427601509156149,46.05530247932026
paper,17,cmicl,0.1,optimal,70.82140572522066,49.08681975465064,0,-7.216449660063518e-16,0,-0.9131802453493449,995.3474961355129,1037.949849034115,997.18,0.8598484552492407,22.657607671771856
paper,17,nominal,0.1,optimal,69.66413452714106,48.83857642880926,0,1.4329133247220265,1,4.135677294350614,1096.898,874.0439725167655,997.1800000000001,1.148536779614103,11.485367796141034
paper,18,cmicl,0.1,optimal,71.14542335944004,44.105999010759625,0,0.08414167956496826,0,-5.894000989240375,1096.898,923.8699234968763,997.18,0.5,38.206791182552635
paper,18,nominal,0.1,optimal,70.1382484400877,48.8385764288093,0,1.432913324722026,1,4.13567729435065,1096.898,874.0439725167656,997.1800000000001,1.148536779614103,11.485367796141034
paper,19,cmicl,0.1,optimal,70.00262704883707,45.570394174743534,0,-2.4980018054066022e-15,0,-4.429605825256452,902.8609366304316,1203.814582173909,997.18,0.5287285032879188,39.10032879662009
paper,19,nominal,0.1,optimal,70.7192514576948,47.31808784991448,0,0.09621523247877545,0,-1.355720235736861,893.4473056728193,1191.2630742304257,997.1800000000001,1.0906167026426377,10.906167026426381
paper,20,cmicl,0.1,optimal,22.391706107696656,50.881931014591046,1,1.4988010832439613e-15,0,-7.208926909590595,1096.8980000000001,1462.5306666666668,997.18,0.5,41.606721738764904
paper,20,nominal,0.1,optimal,22.366938034534254,55.69380240107188,1,-0.5126578650216704,0,-4.856116132915268,1096.8980000000001,1462.5306666666668,997.1800000000001,0.5,54.84490000000001
paper,21,cmicl,0.1,optimal,36.41247126884802,51.13307115463099,1,0.3226962225162306,1,1.1330711546309828,919.461016089718,1225.9480214529574,997.18,1.5062309158312228,15.062309158312232
paper,21,nominal,0.1,optimal,36.38558341628844,50.16941486100518,1,1.151341066247962,1,3.875766440376651,944.6081895069341,1259.4775860092454,997.1800000000001,2.0,20.0
paper,22,cmicl,0.1,optimal,20.965766248990484,48.554740808598225,0,0.15957396026388765,0,-1.4452591914017816,894.635414600243,1192.8472194669907,997.18,1.1470747643187515,11.47074764318753
paper,22,nominal,0.1,optimal,20.97108252516052,47.31808784991449,0,0.09621523247877634,0,-1.3557202357368539,893.4473056728193,1191.2630742304257,997.1800000000001,1.0906167026426379,10.906167026426381
paper,23,cmicl,0.1,optimal,30.60579532978873,44.10599901075963,0,0.08414167956497115,0,-5.894000989240361,1096.898,923.8699234968761,997.18,0.5,38.20679118255265
