scheme,instance,method,alpha,status,objective,f_true,feasible,covered_at_xstar,slack,x0,x1,x2,x3,x4
unit,35,cmicl,0.1,optimal,2517.488937962929,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,35,nominal,0.1,optimal,2405.385333224809,45.200432168193686,0,0,-0.8437290439167029,1010.7107405452085,928.0938967934761,997.18,1.0435331527914735,10.435331527914734
unit,36,cmicl,0.1,optimal,1248.7486875191164,50.50005827331604,1,1,0.5000582733163341,923.0467632922112,1230.7290177229481,997.18,1.1849843612501387,11.849843612501388
unit,36,nominal,0.1,optimal,1190.3321004518164,45.86636386646076,0,0,-0.6284582092811632,874.7516656512848,1166.3355542017132,997.18,1.0654520818344917,10.65452081834492
unit,37,cmicl,0.1,optimal,1489.8459872855312,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,37,nominal,0.1,optimal,1428.2054058770357,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,38,cmicl,0.1,optimal,1267.1978102729656,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,38,nominal,0.1,optimal,1184.9540723166876,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,39,cmicl,0.1,optimal,1313.931885063546,50.50005827331609,1,1,0.5000582733163768,923.0467632922113,1230.7290177229484,997.18,1.1849843612501387,11.849843612501388
unit,39,nominal,0.1,optimal,1285.1015691747912,45.86636386646076,0,0,-0.6284582092811632,874.7516656512848,1166.3355542017132,997.18,1.0654520818344917,10.65452081834492
unit,40,cmicl,0.1,optimal,1201.405956767941,50.368411379354924,1,1,0.36841137935521573,938.8275603894666,1192.2585113635316,997.18,1.1875859821205237,11.875859821205239
unit,40,nominal,0.1,optimal,1173.992504440554,45.200432168193686,0,0,-0.8437290439167029,1010.7107405452085,928.0938967934761,997.18,1.0435331527914735,10.435331527914734
unit,41,cmicl,0.1,optimal,1694.038357879025,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,41,nominal,0.1,optimal,1545.4505730944516,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,42,cmicl,0.1,optimal,642.799683522892,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,42,nominal,0.1,optimal,583.1824644531645,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,43,cmicl,0.1,optimal,1778.5987279993012,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,43,nominal,0.1,optimal,1643.483457989043,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,44,cmicl,0.1,optimal,1085.4199798850138,50.50005827331609,1,1,0.5000582733163625,923.0467632922116,1230.7290177229488,997.18,1.1849843612501387,11.849843612501388
unit,44,nominal,0.1,optimal,1031.963431242424,45.86636386646076,0,0,-0.6284582092811632,874.7516656512848,1166.3355542017132,997.18,1.0654520818344917,10.65452081834492
unit,45,cmicl,0.1,optimal,1354.327699077448,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,45,nominal,0.1,optimal,1268.8304005338848,45.200432168193686,0,0,-0.8437290439167029,1010.7107405452085,928.0938967934761,997.18,1.0435331527914735,10.435331527914734
unit,46,cmicl,0.1,optimal,1724.3341906121789,50.368411379354924,1,1,0.36841137935521573,938.8275603894666,1192.2585113635316,997.18,1.1875859821205237,11.875859821205239
unit,46,nominal,0.1,optimal,1653.5775518123548,45.20043216819367,0,0,-0.8437290439166887,1010.7107405452084,928.093896793476,997.18,1.0435331527914724,10.435331527914727
unit,47,cmicl,0.1,optimal,1595.1169023288303,50.50005827331609,1,1,0.5000582733163768,923.0467632922113,1230.7290177229484,997.18,1.1849843612501387,11.849843612501388
unit,47,nominal,0.1,optimal,1553.2248195670632,45.86636386646076,0,0,-0.6284582092811632,874.7516656512848,1166.3355542017132,997.18,1.0654520818344917,10.65452081834492
unit,48,cmicl,0.1,optimal,1962.1305454738592,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,48,nominal,0.1,optimal,1813.326477202436,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,49,cmicl,0.1,optimal,2230.4904091984013,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,49,nominal,0.1,optimal,2128.789170245112,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,50,cmicl,0.1,optimal,1738.856186330015,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,50,nominal,0.1,optimal,1685.1467324860705,45.20043216819367,0,0,-0.8437290439166887,1010.7107405452084,928.093896793476,997.18,1.0435331527914724,10.435331527914727
unit,51,cmicl,0.1,optimal,1428.4012070933784,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,51,nominal,0.1,optimal,1292.6683160908085,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,52,cmicl,0.1,optimal,1933.2962191792983,50.50005827331609,1,1,0.5000582733163768,923.0467632922113,1230.7290177229484,997.18,1.1849843612501387,11.849843612501388
unit,52,nominal,0.1,optimal,1873.485784559728,45.86636386646076,0,0,-0.6284582092811632,874.7516656512848,1166.3355542017132,997.18,1.0654520818344917,10.65452081834492
unit,53,cmicl,0.1,optimal,1106.030486065599,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,53,nominal,0.1,optimal,1023.1942402412893,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,54,cmicl,0.1,optimal,1808.3225797160821,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,54,nominal,0.1,optimal,1676.452693431917,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,55,cmicl,0.1,optimal,2347.3730931264026,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,55,nominal,0.1,optimal,2209.5579953738197,45.20043216819367,0,0,-0.8437290439166887,1010.7107405452084,928.093896793476,997.18,1.0435331527914724,10.435331527914727
unit,56,cmicl,0.1,optimal,2219.9363025305706,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,56,nominal,0.1,optimal,2103.0754947492533,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,57,cmicl,0.1,optimal,1776.3653209247539,50.36841137935497,1,1,0.36841137935525836,938.8275603894666,1192.2585113635314,997.18,1.1875859821205237,11.875859821205239
unit,57,nominal,0.1,optimal,1723.6079847328601,45.86636386646076,0,0,-0.6284582092811632,874.7516656512848,1166.3355542017132,997.18,1.0654520818344917,10.65452081834492
unit,58,cmicl,0.1,optimal,932.3708482479328,50.50005827331604,1,1,0.5000582733163341,923.0467632922112,1230.7290177229481,997.18,1.1849843612501387,11.849843612501388
