outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible,realization,subsample_seed,rhs
Gastrointestinal,all_constraints,0.6395348837209303,0.48295148210035294,1.0,0.0,56.36363636363635,96,86,0.1098634476463,0.05582667868077626,cp,88,2,3042,0.5
Overall_Survival,all_constraints,10.764240462375628,1.8246905018924613,10.647439052098527,1.1034758564520935,-1.0850873378884378,96,86,0.1098634476463,0.05582667868077626,cp,88,2,3042,0.5
all_constraints,all_constraints,0.46511627906976744,0.5017070722245297,0.686046511627907,0.46681972605573024,47.5,96,86,0.1098634476463,0.05582667868077626,cp,88,2,3042,0.5
Any_DLT,dlt_only,0.6521739130434783,0.4788902604039829,0.9130434782608695,0.2833152987899314,39.99999999999999,96,92,0.019063288966814678,0.0033131082671868186,nominal,96,3,4042,0.5
Blood,dlt_only,0.6304347826086957,0.485331908732589,0.9021739130434783,0.29870720011393176,43.103448275862064,96,92,0.019063288966814678,0.0033131082671868186,nominal,96,3,4042,0.5
Constitutional,dlt_only,0.7391304347826086,0.4415150045959089,0.8913043478260869,0.31296251010007803,20.588235294117652,96,92,0.019063288966814678,0.0033131082671868186,nominal,96,3,4042,0.5
Infection,dlt_only,0.717391304347826,0.4527349601029049,0.9347826086956522,0.2482619949886758,30.303030303030315,96,92,0.019063288966814678,0.0033131082671868186,nominal,96,3,4042,0.5
Gastrointestinal,dlt_only,0.5869565217391305,0.49507850222322614,0.9456521739130435,0.22794497286530102,61.11111111111109,96,92,0.019063288966814678,0.0033131082671868186,nominal,96,3,4042,0.5
Overall_Survival,dlt_only,10.723446363015093,1.7566668091853064,12.037546221246034,0.9855537659763492,12.254454526515278,96,92,0.019063288966814678,0.0033131082671868186,nominal,96,3,4042,0.5
all_constraints,dlt_only,0.43478260869565216,0.49844478627922684,0.782608695652174,0.41473113113479426,80.00000000000001,96,92,0.019063288966814678,0.0033131082671868186,nominal,96,3,4042,0.5
Any_DLT,all_constraints,0.6455696202531646,0.4813968639321408,0.9240506329113924,0.26660986087588917,43.13725490196079,96,79,0.08367560058832169,0.04061611688265235,nominal,91,3,4042,0.5
Blood,all_constraints,0.620253164556962,0.4884249271331116,0.8987341772151899,0.3036080768519887,44.89795918367348,96,79,0.08367560058832169,0.04061611688265235,nominal,91,3,4042,0.5
Constitutional,all_constraints,0.7848101265822784,0.4135799329292691,0.9367088607594937,0.24504171031127578,19.354838709677423,96,79,0.08367560058832169,0.04061611688265235,nominal,91,3,4042,0.5
Infection,all_constraints,0.7215189873417721,0.4511156785172619,0.9240506329113924,0.26660986087588917,28.070175438596504,96,79,0.08367560058832169,0.04061611688265235,nominal,91,3,4042,0.5
Gastrointestinal,all_constraints,0.5949367088607594,0.4940410898973669,0.9746835443037974,0.15808822141886292,63.82978723404256,96,79,0.08367560058832169,0.04061611688265235,nominal,91,3,4042,0.5
Overall_Survival,all_constraints,10.83382292668593,1.8346555149913064,11.542323493648102,1.2997677970365573,6.5397096828764845,96,79,0.08367560058832169,0.04061611688265235,nominal,91,3,4042,0.5
all_constraints,all_constraints,0.4430379746835443,0.49991885092862254,0.8227848101265823,0.38429067760552654,85.71428571428574,96,79,0.08367560058832169,0.04061611688265235,nominal,91,3,4042,0.5
Any_DLT,dlt_only,0.6521739130434783,0.4788902604039829,0.4891304347826087,0.5026209376614081,-25.0,96,92,0.019707207878430683,0.026553852390216112,robust_reg,96,3,4042,0.5
Blood,dlt_only,0.6304347826086957,0.485331908732589,0.4782608695652174,0.5022643424142053,-24.13793103448276,96,92,0.019707207878430683,0.026553852390216112,robust_reg,96,3,4042,0.5
Constitutional,dlt_only,0.7391304347826086,0.4415150045959089,0.9021739130434783,0.29870720011393176,22.05882352941177,96,92,0.019707207878430683,0.026553852390216112,robust_reg,96,3,4042,0.5
Infection,dlt_only,0.717391304347826,0.4527349601029049,0.5108695652173914,0.5026209376614081,-28.78787878787878,96,92,0.019707207878430683,0.026553852390216112,robust_reg,96,3,4042,0.5
Gastrointestinal,dlt_only,0.5869565217391305,0.49507850222322614,0.9456521739130435,0.22794497286530102,61.11111111111109,96,92,0.019707207878430683,0.026553852390216112,robust_reg,96,3,4042,0.5
Overall_Survival,dlt_only,10.723446363015093,1.7566668091853064,12.255256721714431,1.1007460703297691,14.284683364319475,96,92,0.019707207878430683,0.026553852390216112,robust_reg,96,3,4042,0.5
all_constraints,dlt_only,0.43478260869565216,0.49844478627922684,0.41304347826086957,0.49507850222322614,-4.9999999999999964,96,92,0.019707207878430683,0.026553852390216112,robust_reg,96,3,4042,0.5
Any_DLT,all_constraints,0.6455696202531646,0.4813968639321408,0.9240506329113924,0.26660986087588917,43.13725490196079,96,79,0.08413268129030864,0.04144794529979039,robust_reg,91,3,4042,0.5
Blood,all_constraints,0.620253164556962,0.4884249271331116,0.8987341772151899,0.3036080768519887,44.89795918367348,96,79,0.08413268129030864,0.04144794529979039,robust_reg,91,3,4042,0.5
Constitutional,all_constraints,0.7848101265822784,0.4135799329292691,0.9367088607594937,0.24504171031127578,19.354838709677423,96,79,0.08413268129030864,0.04144794529979039,robust_reg,91,3,4042,0.5
Infection,all_constraints,0.7215189873417721,0.4511156785172619,0.9240506329113924,0.26660986087588917,28.070175438596504,96,79,0.08413268129030864,0.04144794529979039,robust_reg,91,3,4042,0.5
Gastrointestinal,all_constraints,0.5949367088607594,0.4940410898973669,0.9746835443037974,0.15808822141886292,63.82978723404256,96,79,0.08413268129030864,0.04144794529979039,robust_reg,91,3,4042,0.5
Overall_Survival,all_constraints,10.83382292668593,1.8346555149913064,11.542323493648102,1.2997677970365573,6.5397096828764845,96,79,0.08413268129030864,0.04144794529979039,robust_reg,91,3,4042,0.5
all_constraints,all_constraints,0.4430379746835443,0.49991885092862254,0.8227848101265823,0.38429067760552654,85.71428571428574,96,79,0.08413268129030864,0.04144794529979039,robust_reg,91,3,4042,0.5
Any_DLT,dlt_only,0.6521739130434783,0.4788902604039829,0.8043478260869565,0.3988756294854575,23.333333333333336,96,92,0.052198571463425956,0.04956504287771008,cp,92,3,4042,0.5
Blood,dlt_only,0.6304347826086957,0.485331908732589,0.7717391304347826,0.42201142814496123,22.41379310344827,96,92,0.052198571463425956,0.04956504287771008,cp,92,3,4042,0.5
Constitutional,dlt_only,0.7391304347826086,0.4415150045959089,0.8913043478260869,0.31296251010007803,20.588235294117652,96,92,0.052198571463425956,0.04956504287771008,cp,92,3,4042,0.5
Infection,dlt_only,0.717391304347826,0.4527349601029049,0.8586956521739131,0.3502439256481347,19.696969696969706,96,92,0.052198571463425956,0.04956504287771008,cp,92,3,4042,0.5
Gastrointestinal,dlt_only,0.5869565217391305,0.49507850222322614,0.9239130434782609,0.2665900112789531,57.4074074074074,96,92,0.052198571463425956,0.04956504287771008,cp,92,3,4042,0.5
Overall_Survival,dlt_only,10.723446363015093,1.7566668091853064,11.822603206056474,1.46155626918812,10.250033485804963,96,92,0.052198571463425956,0.04956504287771008,cp,92,3,4042,0.5
all_constraints,dlt_only,0.43478260869565216,0.49844478627922684,0.6521739130434783,0.4788902604039829,50.0,96,92,0.052198571463425956,0.04956504287771008,cp,92,3,4042,0.5
Any_DLT,all_constraints,0.6455696202531646,0.4813968639321408,0.9367088607594937,0.2450417103112758,45.09803921568627,96,79,0.20030927658081055,0.1583467531239858,cp,79,3,4042,0.5
Blood,all_constraints,0.620253164556962,0.4884249271331116,0.8987341772151899,0.3036080768519887,44.89795918367348,96,79,0.20030927658081055,0.1583467531239858,cp,79,3,4042,0.5
Constitutional,all_constraints,0.7848101265822784,0.4135799329292691,0.9367088607594937,0.2450417103112758,19.354838709677423,96,79,0.20030927658081055,0.1583467531239858,cp,79,3,4042,0.5
Infection,all_constraints,0.7215189873417721,0.4511156785172619,0.9620253164556962,0.192356371638255,33.33333333333334,96,79,0.20030927658081055,0.1583467531239858,cp,79,3,4042,0.5
Gastrointestinal,all_constraints,0.5949367088607594,0.4940410898973669,0.9873417721518988,0.1125087900926024,65.95744680851067,96,79,0.20030927658081055,0.1583467531239858,cp,79,3,4042,0.5
Overall_Survival,all_constraints,10.83382292668593,1.8346555149913064,11.112720195740042,1.3738725465184807,2.5743199878884093,96,79,0.20030927658081055,0.1583467531239858,cp,79,3,4042,0.5
all_constraints,all_constraints,0.4430379746835443,0.49991885092862254,0.810126582278481,0.3947069463729926,82.85714285714288,96,79,0.20030927658081055,0.1583467531239858,cp,79,3,4042,0.5
Any_DLT,dlt_only,0.6382978723404256,0.48306957200104617,0.9680851063829787,0.1767160202664313,51.666666666666664,96,94,0.014697223901748657,0.010085220655116692,nominal,96,4,5042,0.5
Blood,dlt_only,0.6276595744680851,0.48602054368703224,0.925531914893617,0.26393880449618323,47.45762711864407,96,94,0.014697223901748657,0.010085220655116692,nominal,96,4,5042,0.5
Constitutional,dlt_only,0.7340425531914894,0.4442108361881319,0.8723404255319149,0.3354997092507591,18.84057971014493,96,94,0.014697223901748657,0.010085220655116692,nominal,96,4,5042,0.5
Infection,dlt_only,0.7127659574468085,0.45489784805160016,0.9680851063829787,0.1767160202664313,35.820895522388064,96,94,0.014697223901748657,0.010085220655116692,nominal,96,4,5042,0.5
Gastrointestinal,dlt_only,0.5851063829787234,0.49534552875951693,0.9787234042553191,0.14507865158346242,67.27272727272727,96,94,0.014697223901748657,0.010085220655116692,nominal,96,4,5042,0.5
Overall_Survival,dlt_only,10.715374466173396,1.7899688384047383,10.987277810483937,1.021717145456734,2.5375066934794797,96,94,0.014697223901748657,0.010085220655116692,nominal,96,4,5042,0.5
all_constraints,dlt_only,0.425531914893617,0.4970744887414602,0.7978723404255319,0.4037402346511726,87.49999999999999,96,94,0.014697223901748657,0.010085220655116692,nominal,96,4,5042,0.5
Any_DLT,all_constraints,0.6790123456790124,0.46976484792466006,0.9876543209876543,0.11111111111111112,45.45454545454544,96,81,0.09786902864774068,0.07273665210701467,nominal,89,4,5042,0.5
Blood,all_constraints,0.6419753086419753,0.48240651880205354,0.9135802469135802,0.2827335699999883,42.30769230769231,96,81,0.09786902864774068,0.07273665210701467,nominal,89,4,5042,0.5
Constitutional,all_constraints,0.7777777777777778,0.41833001326703784,0.9259259259259259,0.26352313834736496,19.047619047619044,96,81,0.09786902864774068,0.07273665210701467,nominal,89,4,5042,0.5
Infection,all_constraints,0.7530864197530864,0.4339027597725919,0.9876543209876543,0.11111111111111113,31.14754098360655,96,81,0.09786902864774068,0.07273665210701467,nominal,89,4,5042,0.5
Gastrointestinal,all_constraints,0.6419753086419753,0.48240651880205354,0.9876543209876543,0.1111111111111111,53.84615384615385,96,81,0.09786902864774068,0.07273665210701467,nominal,89,4,5042,0.5
Overall_Survival,all_constraints,10.683928808453643,1.7628660260892104,10.889683244261539,1.104465538919055,1.9258312133743574,96,81,0.09786902864774068,0.07273665210701467,nominal,89,4,5042,0.5
all_constraints,all_constraints,0.4691358024691358,0.5021558461545186,0.8271604938271605,0.3804643037391985,76.31578947368423,96,81,0.09786902864774068,0.07273665210701467,nominal,89,4,5042,0.5
Any_DLT,dlt_only,0.6382978723404256,0.48306957200104617,0.9680851063829787,0.1767160202664313,51.666666666666664,96,94,0.012691117823123932,0.003379639322788653,robust_reg,96,4,5042,0.5
Blood,dlt_only,0.6276595744680851,0.48602054368703224,0.925531914893617,0.26393880449618323,47.45762711864407,96,94,0.012691117823123932,0.003379639322788653,robust_reg,96,4,5042,0.5
Constitutional,dlt_only,0.7340425531914894,0.4442108361881319,0.8723404255319149,0.3354997092507591,18.84057971014493,96,94,0.012691117823123932,0.003379639322788653,robust_reg,96,4,5042,0.5
Infection,dlt_only,0.7127659574468085,0.45489784805160016,0.9787234042553191,0.14507865158346242,37.3134328358209,96,94,0.012691117823123932,0.003379639322788653,robust_reg,96,4,5042,0.5
Gastrointestinal,dlt_only,0.5851063829787234,0.49534552875951693,0.9680851063829787,0.1767160202664313,65.45454545454545,96,94,0.012691117823123932,0.003379639322788653,robust_reg,96,4,5042,0.5
