outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible,realization,subsample_seed,rhs,frac,strength
Any_DLT,dlt_only,0.4155844155844156,0.4960541500218804,0.8571428571428571,0.3522217346728334,106.24999999999999,96,77,0.01826010396083196,0.018179374596618527,robust_reg,78,0,1042,0.4,0.5,calibrated
Blood,dlt_only,0.3116883116883117,0.4662205334202242,0.6103896103896104,0.49085972258788635,95.83333333333333,96,77,0.01826010396083196,0.018179374596618527,robust_reg,78,0,1042,0.4,0.5,calibrated
Constitutional,dlt_only,0.4025974025974026,0.49363688603701666,0.7922077922077922,0.40838779099431877,96.7741935483871,96,77,0.01826010396083196,0.018179374596618527,robust_reg,78,0,1042,0.4,0.5,calibrated
Infection,dlt_only,0.16883116883116883,0.37705916758225944,0.5324675324675324,0.5022165496554036,215.38461538461536,96,77,0.01826010396083196,0.018179374596618527,robust_reg,78,0,1042,0.4,0.5,calibrated
Gastrointestinal,dlt_only,0.3116883116883117,0.4662205334202242,0.5844155844155844,0.4960541500218804,87.49999999999999,96,77,0.01826010396083196,0.018179374596618527,robust_reg,78,0,1042,0.4,0.5,calibrated
Overall_Survival,dlt_only,10.693253621311035,1.6811674263399992,11.156088943230838,1.3306405831474601,4.3282927564478495,96,77,0.01826010396083196,0.018179374596618527,robust_reg,78,0,1042,0.4,0.5,calibrated
all_constraints,dlt_only,0.1038961038961039,0.30712656333452054,0.23376623376623376,0.4260004909838997,124.99999999999997,96,77,0.01826010396083196,0.018179374596618527,robust_reg,78,0,1042,0.4,0.5,calibrated
Any_DLT,all_constraints,0.5333333333333333,0.507416263404925,0.7666666666666667,0.43018306715207627,43.750000000000014,96,30,0.06258433560530345,0.0683231406663428,robust_reg,38,0,1042,0.4,0.5,calibrated
Blood,all_constraints,0.4,0.4982728791224399,0.3,0.466091599699399,-25.000000000000007,96,30,0.06258433560530345,0.0683231406663428,robust_reg,38,0,1042,0.4,0.5,calibrated
Constitutional,all_constraints,0.43333333333333335,0.5040069329937308,0.8,0.4068381021724863,84.61538461538463,96,30,0.06258433560530345,0.0683231406663428,robust_reg,38,0,1042,0.4,0.5,calibrated
Infection,all_constraints,0.13333333333333333,0.34574590364176044,0.36666666666666664,0.4901325178535609,175.0,96,30,0.06258433560530345,0.0683231406663428,robust_reg,38,0,1042,0.4,0.5,calibrated
Gastrointestinal,all_constraints,0.4,0.4982728791224399,0.8,0.4068381021724862,100.0,96,30,0.06258433560530345,0.0683231406663428,robust_reg,38,0,1042,0.4,0.5,calibrated
Overall_Survival,all_constraints,11.034686961607068,1.5024661801560075,10.718736939496528,1.0095418009904702,-2.863244088480474,96,30,0.06258433560530345,0.0683231406663428,robust_reg,38,0,1042,0.4,0.5,calibrated
all_constraints,all_constraints,0.06666666666666667,0.2537081317024624,0.03333333333333333,0.18257418583505533,-50.0,96,30,0.06258433560530345,0.0683231406663428,robust_reg,38,0,1042,0.4,0.5,calibrated
Any_DLT,dlt_only,0.4155844155844156,0.4960541500218804,0.922077922077922,0.2698066445201162,121.87499999999999,96,77,0.020734538634618122,0.00815105876777822,cp,85,0,1042,0.4,0.5,calibrated
Blood,dlt_only,0.3116883116883117,0.4662205334202242,0.6753246753246753,0.4713239594778242,116.66666666666669,96,77,0.020734538634618122,0.00815105876777822,cp,85,0,1042,0.4,0.5,calibrated
Constitutional,dlt_only,0.4025974025974026,0.49363688603701666,0.8571428571428571,0.3522217346728334,112.90322580645159,96,77,0.020734538634618122,0.00815105876777822,cp,85,0,1042,0.4,0.5,calibrated
Infection,dlt_only,0.16883116883116883,0.37705916758225944,0.5194805194805194,0.502896599458671,207.69230769230765,96,77,0.020734538634618122,0.00815105876777822,cp,85,0,1042,0.4,0.5,calibrated
Gastrointestinal,dlt_only,0.3116883116883117,0.4662205334202242,0.4935064935064935,0.5032362797401965,58.33333333333334,96,77,0.020734538634618122,0.00815105876777822,cp,85,0,1042,0.4,0.5,calibrated
Overall_Survival,dlt_only,10.693253621311035,1.6811674263399992,11.484710435118412,0.8827330817581256,7.401459292334091,96,77,0.020734538634618122,0.00815105876777822,cp,85,0,1042,0.4,0.5,calibrated
all_constraints,dlt_only,0.1038961038961039,0.30712656333452054,0.2857142857142857,0.4547163041867237,174.99999999999997,96,77,0.020734538634618122,0.00815105876777822,cp,85,0,1042,0.4,0.5,calibrated
Any_DLT,all_constraints,0.5333333333333333,0.507416263404925,0.8333333333333334,0.3790490217894517,56.25000000000001,96,30,0.09359813233216603,0.05394131021540289,cp,46,0,1042,0.4,0.5,calibrated
Blood,all_constraints,0.4,0.4982728791224399,0.4,0.4982728791224399,0.0,96,30,0.09359813233216603,0.05394131021540289,cp,46,0,1042,0.4,0.5,calibrated
Constitutional,all_constraints,0.43333333333333335,0.5040069329937308,0.7,0.466091599699399,61.538461538461526,96,30,0.09359813233216603,0.05394131021540289,cp,46,0,1042,0.4,0.5,calibrated
Infection,all_constraints,0.13333333333333333,0.34574590364176044,0.5333333333333333,0.507416263404925,300.0,96,30,0.09359813233216603,0.05394131021540289,cp,46,0,1042,0.4,0.5,calibrated
Gastrointestinal,all_constraints,0.4,0.4982728791224399,0.8,0.4068381021724862,100.0,96,30,0.09359813233216603,0.05394131021540289,cp,46,0,1042,0.4,0.5,calibrated
Overall_Survival,all_constraints,11.034686961607068,1.5024661801560075,10.967110967774774,1.056618916114698,-0.612396111166644,96,30,0.09359813233216603,0.05394131021540289,cp,46,0,1042,0.4,0.5,calibrated
all_constraints,all_constraints,0.06666666666666667,0.2537081317024624,0.2,0.4068381021724863,200.00000000000003,96,30,0.09359813233216603,0.05394131021540289,cp,46,0,1042,0.4,0.5,calibrated
