outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible,realization,subsample_seed,rhs
Blood,all_constraints,0.8876404494382022,0.3175975958515819,1.0,0.0,12.658227848101271,96,89,0.0485933522383372,0.022655669029058304,cp,89,8,9042,0.6
Constitutional,all_constraints,0.898876404494382,0.3032004969797108,0.9887640449438202,0.10599978800063597,10.000000000000002,96,89,0.0485933522383372,0.022655669029058304,cp,89,8,9042,0.6
Infection,all_constraints,0.8876404494382022,0.3175975958515819,1.0,0.0,12.658227848101271,96,89,0.0485933522383372,0.022655669029058304,cp,89,8,9042,0.6
Gastrointestinal,all_constraints,0.8764044943820225,0.3309842319473132,0.9887640449438202,0.10599978800063597,12.820512820512812,96,89,0.0485933522383372,0.022655669029058304,cp,89,8,9042,0.6
Overall_Survival,all_constraints,10.813709188296345,1.7423718483299,11.862050262245992,1.072273291367156,9.694555824418364,96,89,0.0485933522383372,0.022655669029058304,cp,89,8,9042,0.6
all_constraints,all_constraints,0.7415730337078652,0.44025018423517004,0.9775280898876404,0.14905216367918436,31.818181818181806,96,89,0.0485933522383372,0.022655669029058304,cp,89,8,9042,0.6
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.017097761233647663,0.0019604260379448295,cp,96,9,10042,0.6
Blood,dlt_only,0.875,0.33245498310218435,1.0,0.0,14.285714285714286,96,96,0.017097761233647663,0.0019604260379448295,cp,96,9,10042,0.6
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9270833333333334,0.2613645031536837,7.228915662650602,96,96,0.017097761233647663,0.0019604260379448295,cp,96,9,10042,0.6
Infection,dlt_only,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.017097761233647663,0.0019604260379448295,cp,96,9,10042,0.6
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.017097761233647663,0.0019604260379448295,cp,96,9,10042,0.6
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.970423096246288,0.9670887208881243,11.971509780005215,96,96,0.017097761233647663,0.0019604260379448295,cp,96,9,10042,0.6
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.9270833333333334,0.2613645031536837,32.8358208955224,96,96,0.017097761233647663,0.0019604260379448295,cp,96,9,10042,0.6
Any_DLT,all_constraints,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.11384209742148717,0.08695404889277993,cp,96,9,10042,0.6
Blood,all_constraints,0.875,0.33245498310218435,1.0,0.0,14.285714285714286,96,96,0.11384209742148717,0.08695404889277993,cp,96,9,10042,0.6
Constitutional,all_constraints,0.8645833333333334,0.34396424742808945,0.9375,0.2433321316961438,8.43373493975903,96,96,0.11384209742148717,0.08695404889277993,cp,96,9,10042,0.6
Infection,all_constraints,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.11384209742148717,0.08695404889277993,cp,96,9,10042,0.6
Gastrointestinal,all_constraints,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.11384209742148717,0.08695404889277993,cp,96,9,10042,0.6
Overall_Survival,all_constraints,10.690597206168823,1.779425762099106,11.833081004711678,1.095024599374934,10.686809880776398,96,96,0.11384209742148717,0.08695404889277993,cp,96,9,10042,0.6
all_constraints,all_constraints,0.6979166666666666,0.4615714956689105,0.9375,0.2433321316961438,34.32835820895523,96,96,0.11384209742148717,0.08695404889277993,cp,96,9,10042,0.6
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,0.9270833333333334,0.26136450315368365,8.536585365853668,96,96,0.02588176727294922,0.030599954951819518,cp,96,10,11042,0.6
Blood,dlt_only,0.875,0.33245498310218435,0.71875,0.45196937483581084,-17.857142857142858,96,96,0.02588176727294922,0.030599954951819518,cp,96,10,11042,0.6
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.8958333333333334,0.3070801941090227,3.614457831325301,96,96,0.02588176727294922,0.030599954951819518,cp,96,10,11042,0.6
Infection,dlt_only,0.8645833333333334,0.34396424742808945,0.8125,0.3923612728354477,-6.024096385542173,96,96,0.02588176727294922,0.030599954951819518,cp,96,10,11042,0.6
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.02588176727294922,0.030599954951819518,cp,96,10,11042,0.6
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,12.148993097497147,0.9672437258233819,13.641856139587622,96,96,0.02588176727294922,0.030599954951819518,cp,96,10,11042,0.6
