method,constraint_mode,outcome,rhs,strength,prescribed_mean,prescribed_sd,worst_case,low_quantile,given_mean,n_realizations
robust_reg,dlt_only,Any_DLT,0.6,0.25,0.935661113080468,0.14297191074688745,0.5824175824175825,0.7550159517901454,0.8657041576983001,10.0
robust_reg,dlt_only,Blood,0.6,0.25,0.8682382133995038,0.28261334012672246,0.23076923076923078,0.4295285359801489,0.8763221412611966,10.0
robust_reg,dlt_only,Constitutional,0.6,0.25,0.9504340768144679,0.025819199949766208,0.9166666666666666,0.9224358974358975,0.8808517908425643,10.0
robust_reg,dlt_only,Infection,0.6,0.25,0.9028595060853124,0.22251727244761677,0.32967032967032966,0.6619992910315491,0.8786714398776094,10.0
robust_reg,dlt_only,Gastrointestinal,0.6,0.25,0.9912087912087912,0.027800243166315432,0.9120879120879121,0.9912087912087912,0.8721491870019203,10.0
robust_reg,dlt_only,Overall_Survival,0.6,0.25,11.848779519074572,0.49140649049721635,10.949442510544396,10.995410794260474,10.708289431709586,10.0
robust_reg,dlt_only,all_constraints,0.6,0.25,0.8121025159022619,0.3127625637092343,0.0989010989010989,0.33892236795462605,0.7192842019520141,10.0
robust_reg,all_constraints,Any_DLT,0.6,0.25,0.9580597993861548,0.08439674084844527,0.7634408602150538,0.8327270647449097,0.8762882653390054,10.0
robust_reg,all_constraints,Blood,0.6,0.25,0.8820471965592226,0.24378517566503513,0.3333333333333333,0.5024822695035461,0.8779694322935978,10.0
robust_reg,all_constraints,Constitutional,0.6,0.25,0.9682874601015993,0.019623831044502636,0.925531914893617,0.9516441005802708,0.8897662240533712,10.0
robust_reg,all_constraints,Infection,0.6,0.25,0.9204984817287494,0.1733133129579317,0.4731182795698925,0.7366735300846489,0.8953282374798478,10.0
robust_reg,all_constraints,Gastrointestinal,0.6,0.25,0.9957103637611532,0.010380250036225813,0.967741935483871,0.9871997254632807,0.8794909302372134,10.0
robust_reg,all_constraints,Overall_Survival,0.6,0.25,11.811034077212671,0.4518314943958439,10.954260377826103,11.033080923620119,10.73627053744285,10.0
robust_reg,all_constraints,all_constraints,0.6,0.25,0.8362911675486984,0.2743536329074385,0.24731182795698925,0.3789865019446351,0.7301192968794017,10.0
cp,dlt_only,Any_DLT,0.6,0.25,0.9582890228051518,0.12452900726235479,0.6043956043956044,0.941084721729883,0.8657041576983001,10.0
cp,dlt_only,Blood,0.6,0.25,0.8778683681909488,0.2711790062922706,0.2087912087912088,0.5337823466855726,0.8763221412611966,10.0
cp,dlt_only,Constitutional,0.6,0.25,0.9503108503696606,0.02997941375965732,0.9120879120879121,0.9137894363700815,0.8808517908425643,10.0
cp,dlt_only,Infection,0.6,0.25,0.92221434479499,0.21092331825678495,0.32967032967032966,0.8361928394186459,0.8786714398776094,10.0
cp,dlt_only,Gastrointestinal,0.6,0.25,0.9989010989010989,0.0034750303957894156,0.989010989010989,0.9989010989010989,0.8721491870019203,10.0
cp,dlt_only,Overall_Survival,0.6,0.25,11.837540352024382,0.47886672361309235,10.939095253099454,10.988849411907944,10.708289431709586,10.0
cp,dlt_only,all_constraints,0.6,0.25,0.8358006294078267,0.27480656850808655,0.16483516483516483,0.48099964551577457,0.7192842019520141,10.0
cp,all_constraints,Any_DLT,0.6,0.25,0.9635092457203107,0.08851064998433862,0.7204301075268817,0.9050217341569434,0.8762882653390054,10.0
