method,knob,fold,context_idx,slack,binding,lomo_flip,lomo_sd,x_star
cp@rho=0.5,10.0,1,63,-0.1233322262623498,blood,0.0,0.01134307026982997,2006;1;42;0.667;63;0;1;0;0.611288;-0;-0;-0;-0;-0;0;0;-0;-0;-0;-0;1;-0;-0;-0;1;0;-0;-0;-0;-0;1;-0;-0;0;0;-0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;375;0;0;0;0;0;43.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;500;0;0;0;0;0;175;0;0;0;0;0;0
cp@rho=0.5,10.0,1,92,-0.0367761008136096,gi,0.0,0.00947026165566986,2006;1;48;0.77;54;0;1;0;0.784877;-0;1;-0;-0;1;0;0;0;0;-0;0;0;-0;-0;-0;0;0;-0;0;-0;-0;0;-0;0;-0;-0;0;0;0;11666.66667;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2500;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cp@rho=0.5,10.0,1,93,0.014131956611930563,constitutional,0.16666666666666666,0.011731759235235187,2006;0;72;0.67;56;0;0.49;0.51;0.856899;-0;-0;-0;-0;-0;-0;0;-0;-0;-0;-0;1;-0;-0;-0;1;0;-0;-0;-0;-0;1;0;0;0;-0;-0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;375;0;0;0;0;0;43.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;500;0;0;0;0;0;175;0;0;0;0;0;0
cp@rho=0.5,10.0,1,109,-0.11264938171473887,infection,0.0,0.011569859527146323,2006;1;25;0.789;63;0;1;0;0.211;-0;-0;-0;-0;-0;0;0;-0;-0;-0;-0;1;-0;-0;-0;1;0;-0;-0;-0;-0;1;-0;-0;-0;0;-0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;375;0;0;0;0;0;43.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;500;0;0;0;0;0;175;0;0;0;0;0;0
cp@rho=0.5,10.0,1,113,-0.14115885435534864,infection,0.0,0.007280558195418258,2006;0;37;0.68;56;0;1;0;0.946;-0;-0;-0;-0;-0;-0;0;-0;-0;-0;-0;1;-0;-0;-0;1;0;-0;-0;-0;-0;1;-0;-0;0;-0;-0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;375;0;0;0;0;0;43.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;500;0;0;0;0;0;175;0;0;0;0;0;0
cp@rho=0.5,10.0,1,120,-0.10666156477725935,blood,0.0,0.012806558552729568,2006;0;38;0.71;61;0;1;0;0.369;0;0;0;0;0;0;0;0;-0;-0;-0;1;0;0;0;1;0;0;-0;0;0;1;0;-0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;375;0;0;0;0;0;43.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;500;0;0;0;0;0;175;0;0;0;0;0;0
cp@rho=0.5,10.0,1,122,-0.08125430586469995,infection,0.0,0.01403233843979467,2006;1;38;0.5;53;0;1;0;0.904306;-0;-0;-0;-0;-0;-0;0;-0;-0;-0;-0;1;-0;-0;-0;1;0;-0;-0;-0;-0;1;-0;-0;0;-0;-0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;375;0;0;0;0;0;43.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;500;0;0;0;0;0;175;0;0;0;0;0;0
cp@rho=0.5,10.0,1,123,-0.10468732029625094,constitutional,0.0,0.020184575083422068,2006;1;39;0.667;51;0;1;0;0.82515;0;-0;0;0;-0;0;0;0;0;-0;-0;1;0;0;-0;1;0;0;0;0;0;1;0;-0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;375;0;0;0;0;0;43.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;500;0;0;0;0;0;175;0;0;0;0;0;0
cp@rho=0.5,10.0,1,124,-0.1161378410445571,blood,0.0,0.011439399502741688,2006;1;47;0.592;56;0;1;0;0.959;-0;-0;-0;-0;-0;-0;0;-0;-0;-0;-0;1;-0;-0;-0;1;0;-0;-0;-0;-0;1;-0;0;0;-0;-0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;375;0;0;0;0;0;43.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;500;0;0;0;0;0;175;0;0;0;0;0;0
cp@rho=0.5,10.0,1,139,-0.1702454504716434,infection,0.0,0.00997181668344466,2006;0;42;0.619;73;0;1;0;0.572;-0;0;-0;-0;0;0;0;0;-0;-0;-0;1;-0;-0;-0;1;0;-0;0;-0;-0;1;-0;-0;0;0;-0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;375;0;0;0;0;0;43.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;500;0;0;0;0;0;175;0;0;0;0;0;0
