method,knob,fold,context_idx,solved,feasible,objective
cp@rho=0.5,0.1,2,194,1.0,1.0,9.438311682256177
cp@rho=0.5,0.1,2,218,1.0,1.0,10.384419255807243
cp@rho=0.5,0.1,2,232,1.0,1.0,11.30566052859268
cp@rho=0.5,0.1,2,233,1.0,1.0,11.746315936379405
cp@rho=0.5,0.1,2,236,1.0,1.0,10.61445439175357
cp@rho=0.5,0.1,2,243,1.0,1.0,10.302661508511767
cp@rho=0.5,0.1,2,252,1.0,1.0,10.405720485454129
cp@rho=0.5,0.1,2,269,1.0,1.0,10.39839686982234
cp@rho=0.5,0.1,2,271,1.0,1.0,11.242775475214492
cp@rho=0.5,0.1,2,276,1.0,1.0,11.159532143285603
cp@rho=0.5,0.1,2,277,1.0,1.0,9.792024834025188
cp@rho=0.5,0.1,2,286,1.0,0.0,8.443993554415554
cp@rho=0.5,0.1,2,288,1.0,1.0,11.732719208440509
cp@rho=0.5,0.1,2,297,1.0,1.0,10.471561644087593
cp@rho=0.5,0.1,2,304,0.0,nan,nan
cp@rho=0.5,0.1,2,318,1.0,1.0,10.487443869529072
cp@rho=0.5,0.1,3,4,1.0,1.0,11.616619543598018
cp@rho=0.5,0.1,3,5,1.0,1.0,11.628279347883051
cp@rho=0.5,0.1,3,6,0.0,nan,nan
cp@rho=0.5,0.1,3,38,1.0,0.0,11.014798156605579
cp@rho=0.5,0.1,3,39,0.0,nan,nan
cp@rho=0.5,0.1,3,40,1.0,0.0,11.548976401132471
cp@rho=0.5,0.1,3,41,1.0,0.0,11.590288737806107
cp@rho=0.5,0.1,3,44,1.0,1.0,10.73549545860817
cp@rho=0.5,0.1,3,45,1.0,1.0,10.219436657578646
cp@rho=0.5,0.1,3,54,1.0,0.0,11.741440254745783
cp@rho=0.5,0.1,3,67,1.0,1.0,12.380605619194446
cp@rho=0.5,0.1,3,75,1.0,1.0,12.212035969070184
cp@rho=0.5,0.1,3,77,1.0,1.0,13.260320974378457
cp@rho=0.5,0.1,3,78,1.0,1.0,13.055557258180405
cp@rho=0.5,0.1,3,90,1.0,1.0,11.951199173212098
cp@rho=0.5,0.1,3,91,1.0,1.0,11.8771893660102
cp@rho=0.5,0.1,3,125,1.0,1.0,12.374911012283725
cp@rho=0.5,0.1,3,142,1.0,1.0,11.868983786521886
cp@rho=0.5,0.1,3,144,1.0,1.0,10.687996623266352
cp@rho=0.5,0.1,3,145,1.0,1.0,11.383535975802822
cp@rho=0.5,0.1,3,161,1.0,1.0,13.514901994126797
cp@rho=0.5,0.1,3,163,1.0,0.0,10.405540454245601
