method,knob,n_dec,feas,undecided_k0.25,feas_lo_k0.25,feas_hi_k0.25,undecided_k0.5,feas_lo_k0.5,feas_hi_k0.5,undecided_k1,feas_lo_k1,feas_hi_k1,lomo_flip_mean,lomo_any_frac,lomo_sd_median,target_inside_band,median_abs_z
wrapper@rho=1,0.9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46946300347159037,False,2.0947053334961394
wrapper@rho=1,0.95,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45512184571333575,False,2.3607935212382425
wrapper@rho=2,0.0,10,0.1,0.4,0.0,0.4,0.4,0.0,0.4,0.8,0.0,0.8,0.09999999999999999,0.3,0.41768447434403716,False,0.5128939694532295
wrapper@rho=2,0.05,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5193006063855159,False,0.9970334432774826
wrapper@rho=2,0.1,10,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.4,0.0,0.4,0.01428571428571428,0.1,0.5135329381426885,False,1.0665127703783583
wrapper@rho=2,0.15,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.0,0.48052860751612997,False,0.9697124289046046
wrapper@rho=2,0.2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4652449963292936,False,1.1367600565960978
wrapper@rho=2,0.3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43820833977098195,False,1.3557159597280024
wrapper@rho=2,0.4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4310379323343052,False,1.5468457364590655
wrapper@rho=2,0.5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4060798257265763,False,1.6767227301117718
wrapper@rho=2,0.6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39335157457687253,False,1.6810786663749346
wrapper@rho=2,0.7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4362333447666919,False,1.9848423062312084
wrapper@rho=2,0.8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4674469143921274,False,2.039144747711326
wrapper@rho=2,0.9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40351346493780127,False,2.65579177595976
wrapper@rho=2,0.95,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5391115644642647,False,3.704510848604129
wrapper@rho=3,0.0,10,0.4,0.2,0.3,0.5,0.5,0.2,0.7,0.8,0.1,0.9,0.05714285714285714,0.2,0.37147133728484083,False,0.5724921604296187
wrapper@rho=3,0.05,10,0.3,0.3,0.0,0.3,0.4,0.0,0.4,0.7,0.0,0.7,0.11428571428571428,0.3,0.44395544798926606,False,0.5505853712943203
wrapper@rho=3,0.1,10,0.0,0.1,0.0,0.1,0.3,0.0,0.3,0.8,0.0,0.8,0.04285714285714285,0.1,0.44881249030517545,False,0.7132449760159055
wrapper@rho=3,0.15,10,0.1,0.3,0.0,0.3,0.3,0.0,0.3,0.4,0.0,0.4,0.09999999999999999,0.3,0.43307778492725835,False,1.0243481318865717
wrapper@rho=3,0.2,10,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.3,0.0,0.3,0.04285714285714285,0.1,0.4784053158975865,False,1.258637946618859
wrapper@rho=3,0.3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.45330229619791906,False,1.4388915244736526
wrapper@rho=3,0.4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43009658034624554,False,1.4546597022251506
wrapper@rho=3,0.5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40975992247947746,False,1.527777178896239
wrapper@rho=3,0.6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3855897476637957,False,1.8377694664313493
wrapper@rho=3,0.7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414697421404849,False,2.1746127873005587
wrapper@rho=3,0.8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36218609909221783,False,2.459452565696556
wrapper@rho=3,0.9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526082262232012,False,3.811255664147382
wrapper@rho=3,0.95,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45482503308690214,False,7.1418353032257045
wrapper@rho=4,0.0,10,0.9,0.3,0.6,0.8999999999999999,0.5,0.5,1.0,0.7,0.3,1.0,0.0857142857142857,0.3,0.38260608695803056,True,0.466571628094211
wrapper@rho=4,0.05,10,0.6,0.3,0.5,0.8,0.6,0.2,0.8,0.8,0.2,1.0,0.05714285714285713,0.3,0.3694528844424275,False,0.28252605837694655
wrapper@rho=4,0.1,10,0.4,0.2,0.2,0.4,0.5,0.0,0.5,0.9,0.0,0.9,0.02857142857142857,0.1,0.3847536415628541,False,0.5829076363611533
wrapper@rho=4,0.15,10,0.0,0.1,0.0,0.1,0.4,0.0,0.4,0.6,0.0,0.6,0.04285714285714285,0.2,0.4335179258037919,False,0.8303376961986775
wrapper@rho=4,0.2,10,0.1,0.0,0.1,0.1,0.2,0.1,0.30000000000000004,0.4,0.0,0.4,0.0,0.0,0.4916173826257012,False,1.1829498659096045
wrapper@rho=4,0.3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.5036185937124945,False,1.5617964951230456
wrapper@rho=4,0.4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4728084693796062,False,1.692007810106006
wrapper@rho=4,0.5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4575741530151062,False,2.1189184563907366
wrapper@rho=4,0.6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35794521158132253,False,2.1879614743821763
wrapper@rho=4,0.7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35116919951186787,False,2.4666131325861214
wrapper@rho=4,0.8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3486476365356752,False,3.0284433269990707
wrapper@rho=4,0.9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37123952106961944,False,4.7998239907363125
wrapper@rho=4,0.95,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6436369772834154,False,9.668056461135844
wrapper@rho=5,0.0,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.6,0.4,1.0,0.0,0.0,0.3523154529602269,False,0.9070823795925211
wrapper@rho=5,0.05,10,1.0,0.1,0.9,1.0,0.3,0.7,1.0,0.8,0.2,1.0,0.02857142857142857,0.1,0.36703715055795716,True,0.863934405710851
wrapper@rho=5,0.1,10,0.6,0.5,0.4,0.9,0.6,0.4,1.0,0.8,0.2,1.0,0.1571428571428571,0.5,0.3325579859266139,True,0.3388539238440781
wrapper@rho=5,0.15,10,0.3,0.4,0.2,0.6000000000000001,0.5,0.2,0.7,0.7,0.1,0.7999999999999999,0.07142857142857141,0.4,0.30740935083131254,False,0.5123340746690808
wrapper@rho=5,0.2,10,0.3,0.4,0.2,0.6000000000000001,0.6,0.1,0.7,0.8,0.0,0.8,0.09999999999999998,0.4,0.3592599793112947,False,0.2862326856002614
