problem,method,rho,dial,dial_name,faces_D,feasibility,objective,solved_frac,status,n_capped,master_time_s,test_time_s,test_time_per_point_s,objective_sense,coherent,matched_bank,seed,cp_alpha,phase,note
gastric,margin,,1.25,margin,False,,,0.0,infeasible,0,1.6569976806640625,0.1041262745857238,0.0028724489540889,max,False,False,42,,dial,
gastric,margin,,1.5,margin,False,,,0.0,infeasible,0,0.4624837040901184,0.0656448602676391,0.0018108926970383,max,False,False,42,,dial,
gastric,margin,,1.75,margin,False,,,0.0,infeasible,0,0.3460758328437805,0.0501301884651184,0.0013829017507618,max,False,False,42,,dial,
gastric,margin,,2.0,margin,False,,,0.0,infeasible,0,0.324450671672821,0.0472026467323303,0.0013021419788229,max,False,False,42,,dial,
gastric,margin,,2.5,margin,False,,,0.0,infeasible,0,0.3322240114212036,0.0437328219413757,0.0012064226742448,max,False,False,42,,dial,
gastric,margin,,3.0,margin,False,,,0.0,infeasible,0,0.330432116985321,0.0431638360023498,0.0011907265104096,max,False,False,42,,dial,
gastric,margin,,4.0,margin,False,,,0.0,infeasible,0,0.3153139948844909,0.0428448915481567,0.0011819280427077,max,False,False,42,,dial,
gastric,margin,,5.0,margin,False,,,0.0,infeasible,0,0.3181226849555969,0.0428599715232849,0.0011823440420216,max,False,False,42,,dial,
gastric,cmicl,,1.0,alpha,False,0.7027296347470864,11.13660382992136,0.9426553176553176,optimal,0,2.143427073955536,343.2990714907646,9.470319213538334,max,False,False,42,,dial,
gastric,cmicl,,0.95,alpha,False,0.7027296347470864,11.12508531565826,0.9426553176553176,optimal,0,3.0490106344223022,326.192567050457,8.998415642771228,max,False,False,42,,dial,
gastric,cmicl,,0.9,alpha,False,0.7428774179983179,11.095439100031834,0.9426553176553176,optimal,0,2.13470596075058,398.8698071241379,11.003305024114148,max,False,False,42,,dial,
gastric,cmicl,,0.8,alpha,False,0.8003234635948575,10.867006338330558,0.9426553176553176,optimal,0,4.469634294509888,627.3315022587776,17.305696614035245,max,False,False,42,,dial,
gastric,cmicl,,0.7,alpha,False,0.8439927274526294,10.378934184715105,0.9131712881712882,optimal,0,5.029216408729553,4362.14486515522,120.33503076290262,max,False,False,42,,dial,
gastric,cmicl,,0.6,alpha,False,0.91878078817734,9.781394321174814,0.8928863928863928,optimal,0,12.975501835346222,4566.414675533772,125.97006001472474,max,False,False,42,,dial,
gastric,cmicl,,0.1,alpha,False,0.8888888888888888,8.867709463321022,0.08112495612495613,not_solved,0,0.4293093681335449,1829.4554158449173,50.46773560951496,max,False,False,42,,dial,protocol point
gastric,cmicl,,0.5,alpha,False,0.9420866489832007,9.440892051785777,0.8347227097227097,not_solved,0,0.4010220170021057,986.544541478157,27.215021833880193,max,False,False,42,,dial,
gastric,cmicl,,0.4,alpha,False,0.974712643678161,9.049803121867235,0.765999765999766,not_solved,0,0.32134079933166504,1232.2818444371223,33.99398191550682,max,False,False,42,,dial,
gastric,cmicl,,0.3,alpha,False,0.9795833333333334,8.858717649766053,0.635076635076635,not_solved,0,0.315269410610199,1543.5715339183807,42.58128369430016,max,False,False,42,,dial,
gastric,cp,1.0,0.1,tau,True,0.9375,9.84123391904987,0.8701591201591201,coverage_cap,0,48.28126257658005,9.492363095283508,0.261858292283683,max,False,False,42,0.0,cp_alpha_ablation,tau*=0.1
gastric,cp,1.0,0.1,tau,True,0.99,9.471506883297153,0.6529191529191529,coverage_cap|optimal,0,74.27812665700912,13.921830177307129,0.38405048764985183,max,False,False,42,0.1,cp_alpha_ablation,tau*=0.1
gastric,cp,1.0,0.1,tau,True,0.9802631578947368,9.35382053217702,0.5826605826605826,coverage_cap|optimal,0,54.78349161148071,15.640273749828339,0.4314558275814714,max,False,False,42,0.2,cp_alpha_ablation,tau*=0.1
gastric,cp,1.0,0.1,tau,True,1.0,9.329884049842427,0.4985228735228735,coverage_cap|optimal,0,55.95343071222305,15.440465688705444,0.4259438810677364,max,False,False,42,0.3,cp_alpha_ablation,tau*=0.1
